_time,demand,ia,ib,ic,impep,pft,pt,ua,ub,uc
2025-12-21 09:35:00+00:00,0.0,6.48,5.24,6.32,468.90600068,794.44,21.28,2379.0,2385.68,2384.76
2025-12-21 09:40:00+00:00,0.0,20.805555555555557,5.271604938271604,5.908950617283951,530.186495199074,863.7006172839506,47.98765432098765,2370.6517489711932,2347.3960905349795,2373.7430555555557
2025-12-21 09:45:00+00:00,0.0,20.944444444444443,5.496913580246914,5.765432098765432,530.1868804382716,861.9382716049382,47.32716049382716,2354.7201646090534,2330.7659465020574,2357.1471193415637
2025-12-21 09:50:00+00:00,0.0,20.555555555555557,5.496913580246914,5.762345679012346,530.1872202777778,866.4783950617284,47.76851851851852,2354.172692533804,2330.522633744856,2356.981040564374
2025-12-21 09:55:00+00:00,0.0,20.817901234567902,5.7592592592592595,5.765432098765432,530.1874673395062,868.8271604938271,47.28703703703704,2354.2227366255142,2330.715020576132,2356.9038065843624
2025-12-21 10:00:00+00:00,0.0,21.313271604938272,5.295781893004115,5.762345679012346,530.1880075339507,866.3858024691358,47.035493827160494,2352.5846193415637,2328.8456790123455,2355.1833847736625
2025-12-21 10:05:00+00:00,0.0,20.805555555555557,5.521604938271605,5.768518518518518,530.1886712037036,863.4938271604939,48.19135802469136,2353.067901234568,2329.098765432099,2355.621399176955
2025-12-21 10:10:00+00:00,0.0,20.919753086419753,5.530864197530864,5.728395061728395,530.1888870895061,869.1697530864197,47.79012345679013,2355.321502057613,2331.2021604938273,2357.783436213992
2025-12-21 10:15:00+00:00,0.0,20.796296296296298,5.4753086419753085,5.842592592592593,530.1893491790123,865.9320987654321,47.69135802469136,2353.511316872428,2328.5010288065846,2355.1939300411523
2025-12-21 10:20:00+00:00,0.0,21.208333333333336,5.861111111111111,5.873456790123457,530.1897353611112,853.516975308642,47.15432098765432,2355.7644032921808,2330.942386831276,2357.39866255144
2025-12-21 10:25:00+00:00,0.0,20.506172839506174,5.515432098765432,5.828189300411522,530.1902451234567,865.0956790123457,47.19444444444444,2356.1121399176955,2331.2145061728397,2357.897633744856
2025-12-21 10:30:00+00:00,0.0,15.070987654320987,5.703703703703703,5.929012345679013,530.1903995956791,861.5185185185185,34.80246913580247,2357.206790123457,2330.0895061728397,2358.546296296296
2025-12-21 10:35:00+00:00,0.0,19.429012345679013,5.397119341563785,14.208847736625515,530.1909246172839,858.3415637860082,61.175925925925924,2355.0555555555557,2330.1913580246915,2358.579732510288
2025-12-21 10:40:00+00:00,0.0,17.66460905349794,5.186728395061728,5.807098765432098,530.1915145997942,854.1820987654321,40.14248971193416,2355.299312570146,2330.2662972315748,2357.1441965955855
2025-12-21 10:45:00+00:00,0.0,17.645061728395063,5.651234567901234,6.006172839506172,530.1917557592593,862.6604938271605,40.64506172839506,2354.39146090535,2329.9542181069955,2356.562757201646
2025-12-21 10:50:00+00:00,0.0,20.895061728395063,5.675925925925926,6.12962962962963,530.1920956018519,859.1481481481482,47.41358024691358,2354.8256172839506,2331.0529835390944,2357.050925925926
2025-12-21 10:55:00+00:00,0.0,16.126543209876544,5.49537037037037,5.8580246913580245,530.192280962963,860.0370370370371,37.81481481481482,2355.09670781893,2330.6774691358023,2357.9753086419755
2025-12-21 11:00:00+00:00,0.0,19.078703703703702,5.229938271604938,5.742283950617284,530.1926517037037,854.395061728395,43.64660493827161,2355.27237654321,2331.3199588477364,2357.766975308642
2025-12-21 11:05:00+00:00,0.0,16.419753086419753,5.734567901234568,5.771604938271605,530.1933312006173,858.9228395061729,37.151234567901234,2355.7145061728397,2330.169238683128,2358.0812757201647
2025-12-21 11:10:00+00:00,0.0,17.790123456790123,5.503086419753086,5.916666666666667,530.193732271605,862.6820987654321,41.67901234567901,2354.6270576131687,2330.5751028806585,2357.2829218106995
2025-12-21 11:15:00+00:00,0.0,20.169753086419753,5.570987654320987,5.839506172839506,530.1941334166667,863.2469135802469,46.70061728395062,2355.421296296296,2331.980967078189,2357.877572016461
2025-12-21 11:20:00+00:00,0.0,17.060185185185183,5.222222222222222,5.833333333333334,530.1946263626544,855.5560699588477,38.76568930041152,2354.940329218107,2330.357767489712,2357.676440329218
2025-12-21 11:25:00+00:00,0.0,20.512345679012345,5.533950617283951,5.929012345679013,530.1949969135802,859.3672839506173,47.98456790123457,2355.520061728395,2331.151234567901,2357.7644032921808
2025-12-21 11:30:00+00:00,0.0,17.27777777777778,6.503086419753086,5.728395061728395,530.1952749567901,856.8148148148148,37.083333333333336,2357.1090534979426,2331.9439300411523,2359.800925925926
2025-12-21 11:35:00+00:00,0.0,19.53395061728395,5.577160493827161,5.45679012345679,530.1955221141975,861.7685185185185,42.873456790123456,2355.878086419753,2331.8796296296296,2358.3626543209875
2025-12-21 11:40:00+00:00,0.0,19.04320987654321,5.288580246913581,5.672839506172839,530.1959546018519,857.6867283950617,43.68672839506173,2356.0594135802467,2331.6725823045267,2358.3960905349795
2025-12-21 11:45:00+00:00,0.0,18.382716049382715,5.75,6.179012345679013,530.1963870432098,857.7777777777778,41.79012345679013,2356.5324074074074,2332.037551440329,2358.6183127572017
2025-12-21 11:50:00+00:00,0.0,20.194444444444443,5.5092592592592595,7.675925925925926,530.1969113302468,860.1820987654321,49.157407407407405,2355.703703703704,2331.8081275720165,2357.804526748971
2025-12-21 11:55:00+00:00,0.0,16.796296296296298,5.311728395061729,7.704218106995884,530.1972194197531,855.2283950617284,39.851337448559676,2357.750514403292,2332.045267489712,2359.5128600823045
